Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
67114,ABBOTSBURY (FAIRFIELD (CITY FARM))       ,-33.8667,150.8611,1/12/2000,1/3/2022,20.9,98,  N
66034,ABBOTSFORD (BLACKWALL POINT RD)          ,-33.8507,151.1295,1/1/2004,1/3/2022,18.3,100,  N
55230,ABBOTSLEA                                ,-31.0667,150.05,NA,1/10/1926,36.4,97,  N
63000,ABERCROMBIE (ABERCROMBIE BRIDGE)         ,-33.9541,149.3252,1/7/1931,1/9/2007,74.9,98,  N
63296,ABERCROMBIE (ABERCROMBIE RIVER)          ,-33.9547,149.3241,1/12/2000,1/12/2014,13.7,97,  N
63257,ABERCROMBIE (THE JUNCTION)               ,-33.9609,149.3184,1/11/2007,1/8/2016,8.7,98,  N
63199,ABERCROMBIE CAVES                        ,-33.9833,149.4167,1/1/1900,1/3/1927,27.2,100,  N
61000,ABERDEEN (MAIN RD)                       ,-32.1655,150.8911,NA,1/5/2013,113.1,95,  N
61065,ABERDEEN (ROSSGOLE)                      ,-32.1402,150.7285,1/1/1926,1/12/2021,95.9,100,  N
57000,ABERFOYLE                                ,-30.2667,152.0167,NA,1/12/1970,77.3,91,  N
57101,ABERFOYLE (BAMBI)                        ,-30.2667,152.0333,1/1/1971,1/5/1973,2.4,100,  N
56183,ABINGTON (GLANMIRE)                      ,-30.3167,151.2,1/1/1960,1/10/1974,13.7,92,  N
57031,ACACIA PLATEAU (BELMONT)                 ,-28.35,152.4333,1/6/1954,1/4/1970,15.9,100,  N
71040,ADAMINABY (YAOUK)                        ,-35.7858,148.8106,1/12/1969,1/12/2021,38,73,  N
71000,ADAMINABY ALPINE TOURIST PARK            ,-35.9962,148.7693,NA,1/3/2022,133.5,99,  N
50087,ADAVALE                                  ,-32.9,148,NA,1/1/1942,47.1,98,  N
72083,ADELONG (GALIMBANG)                      ,-35.4402,147.928,1/5/1967,1/10/2013,46.5,100,  N
72159,ADELONG (KATHVALE)                       ,-35.3205,147.9419,1/6/1985,1/2/2022,34.8,94,  N
72000,ADELONG (TUMUT ST)                       ,-35.3085,148.0641,NA,1/11/2020,136.3,99,  N
73147,ADJUNGBILLY (RED HILL RD)                ,-35.0875,148.3967,1/7/2003,1/7/2004,1.1,100,  N
58066,AFTERLEE POST OFFICE                     ,-28.5833,152.8333,1/11/1953,1/8/1964,10.8,100,  N
70000,AINSLIE TYSON ST                         ,-35.2583,149.1424,1/4/1935,1/1/2021,85.7,100,  N
67039,AJANA                                    ,-33.65,150.7667,1/1/1963,1/12/1964,2,100,  N
50001,ALAWA                                    ,-33.4,147.6,1/2/1925,1/3/1937,10.3,85,  N
50033,ALBERT (THE MEADOWS)                     ,-32.3333,147.4,1/7/1906,1/10/1977,71.3,100,  N
68129,ALBION PARK (PARKVALE)                   ,-34.6,150.75,1/11/1962,1/7/1967,4.3,91,  N
68241,ALBION PARK (SHELLHARBOUR AIRPORT)       ,-34.5639,150.7924,1/6/1999,1/3/2022,22.8,100,  Y
68000,ALBION PARK POST OFFICE                  ,-34.5712,150.7761,NA,1/2/2022,126.8,98,  N
72001,ALBURY                                   ,-36.1,146.9,NA,1/7/1962,99.3,95,  N
72168,ALBURY (TABLE TOP (NYRIMBLA))            ,-35.9757,147.0371,1/1/2004,1/11/2012,8.9,100,  N
72146,ALBURY AIRPORT                           ,-36.0694,146.9531,1/6/1983,1/2/2022,38.5,99,  N
72160,ALBURY AIRPORT AWS                       ,-36.069,146.9509,1/6/1994,1/3/2022,27.8,100,  Y
72059,ALBURY GRAMMAR SCHOOL                    ,-36.0667,146.9333,1/11/1960,1/11/1969,8.5,94,  N
72057,ALBURY PMG REPEATER STATION              ,-36.1,146.9,1/9/1954,1/7/1962,7.9,100,  N
72097,ALBURY PUMPING STATION                   ,-36.0817,146.955,1/5/1970,1/8/1986,16.3,100,  N
50117,ALECTOWN (BRIDGEWATER)                   ,-32.8952,148.2811,1/9/1970,1/3/2022,51.4,100,  N
65100,ALECTOWN (CAWDOR)                        ,-32.9874,148.2288,1/6/1992,1/5/2020,28,100,  N
50121,ALECTOWN (GLENROY)                       ,-32.9433,148.2833,1/1/1973,1/5/1992,19.4,100,  N
50115,ALECTOWN (GOONAHRA)                      ,-32.857,148.2577,1/7/1970,1/4/2013,42.8,100,  N
50116,ALECTOWN (KADINA PARK)                   ,-32.9294,148.3017,1/7/1970,1/9/1997,27.3,100,  N
50119,ALECTOWN (VANVILLA)                      ,-32.9368,148.2447,1/9/1949,1/3/2022,64.8,89,  N
66021,ALEXANDRIA (ERSKINEVILLE)                ,-33.9167,151.2,1/5/1904,1/11/1973,69.3,100,  N
66033,ALEXANDRIA (HENDERSON ROAD)              ,-33.8992,151.1933,1/5/1962,1/6/1999,2.3,6,  N
57098,ALICE (CLEVELAND)                        ,-29.0167,152.5667,1/1/1974,1/4/2000,4,15,  N
57097,ALICE (TILBAROO)                         ,-29.0333,152.5833,1/9/1971,1/12/1973,2.3,100,  N
70140,ALLAMBIE                                 ,-34.6833,149.7833,1/7/1959,1/10/1966,7.2,98,  N
61001,ALLANDALE (TINGARA)                      ,-32.7167,151.4167,1/7/1902,1/5/1971,49.1,71,  N
49069,ALMA (BOOLIGAL)                          ,-33.4,144.4,NA,1/8/1939,31.4,72,  N
49068,ALMA 2                                   ,-33.4167,144.3667,NA,1/12/1917,18.8,99,  N
74263,ALMA PARK (ALBARINGA)                    ,-35.6259,146.8343,1/1/1997,1/12/2021,24.8,99,  N
68128,ALPINE                                   ,-34.4,150.5167,1/11/1962,1/12/1970,7.7,94,  N
58000,ALSTONVILLE POST OFFICE                  ,-28.85,153.45,1/11/1903,1/7/1973,69.8,100,  N
58131,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT ,-28.8521,153.4556,1/3/1963,1/7/2011,48,99,  N
68227,AMBARVALE CLENNAM AVE                    ,-34.0867,150.7917,1/10/1988,1/12/1991,3.3,100,  N
48066,AMPHITHEATRE                             ,-31.5333,145.6,NA,1/12/1920,30.3,82,  N
48168,ANGLEDOOL (ANGLEDOOL STATION)            ,-29.1173,147.8993,NA,1/3/2022,136.3,100,  N
63131,ANGUS PLACE (WOLGAN GAP)                 ,-33.3167,150.1167,1/8/1959,1/11/1982,23.2,99,  N
46118,ANNALARA                                 ,-31.2667,144.0333,1/9/1923,1/6/1966,42.8,100,  N
68134,APPIN (STANHOPE)                         ,-34.2,150.7833,NA,1/12/1913,25.1,100,  N
68234,APPIN (WILTON ROAD)                      ,-34.2206,150.7685,1/8/2009,1/10/2010,0.9,73,  N
47001,APPIN 3                                  ,-32.4167,142.3833,1/6/1925,1/1/1961,26.5,74,  N
68001,APPIN CHURCH ST                          ,-34.2069,150.7931,1/1/1907,1/6/1997,74.2,82,  N
74137,ARAJOL                                   ,-35.1167,147.0167,1/1/1904,1/12/1926,20.7,90,  N
69105,ARALUEN (MERRICUMBENE)                   ,-35.7333,149.8667,1/9/1970,1/6/1979,8.8,100,  N
54071,ARALUEN (OAKWOOD)                        ,-29.6167,151.0833,1/9/1958,1/9/1994,12.6,35,  N
69127,ARALUEN LOWER (ARALUEN RD)               ,-35.6867,149.8382,1/6/1980,1/3/2022,41.1,98,  N
69000,ARALUEN POST OFFICE                      ,-35.65,149.8167,NA,1/4/1970,78.7,100,  N
70242,ARANDA (BINDAGA ST)                      ,-35.2572,149.0742,1/7/1971,1/3/2022,50.8,100,  N
56000,ARDING                                   ,-30.6,151.55,1/7/1922,1/9/1954,31.8,99,  N
56200,ARDING (BOOYONG)                         ,-30.5833,151.55,1/2/1970,1/4/1974,4.2,98,  N
74266,ARDLETHAN (MAXWELTON)                    ,-34.2336,146.8453,1/7/2003,1/5/2016,12.9,100,  N
74268,ARDLETHAN (STRATHBOGIE)                  ,-34.1932,146.9278,1/1/1970,1/1/2022,52,100,  N
74000,ARDLETHAN POST OFFICE                    ,-34.357,146.9035,1/7/1909,1/3/2022,106.9,95,  N
72164,ARGALONG (CANYA)                         ,-35.3214,148.4642,1/7/1997,1/5/1998,0.9,100,  N
72152,ARGALONG (SANDY CREEK)                   ,-35.317,148.433,1/12/2000,1/3/2022,17.9,84,  N
72003,ARGALONG (THE FARM)                      ,-35.3083,148.4117,1/8/1900,1/7/1996,92.8,97,  N
74001,ARGOON                                   ,-34.9,145.9,NA,1/9/1958,67.8,100,  N
74231,ARIAH PARK (TRICKETTDALE)                ,-34.5333,147.3,1/11/1968,1/4/1975,6.4,99,  N
74239,ARIAH PARK (YARRANJERRY)                 ,-34.4667,147.05,NA,1/7/1903,7,95,  N
74002,ARIAH PARK POST OFFICE                   ,-34.3479,147.2208,1/5/1903,1/2/2022,118,99,  N
63149,ARLAMONT                                 ,-33.7,149.9333,1/8/1959,1/11/1969,10.3,100,  N
56219,ARMIDALE (AMAROO RD)                     ,-30.5154,151.5324,1/1/2007,1/9/2009,2.6,94,  N
56068,ARMIDALE (BELHAVEN)                      ,-30.3793,151.7521,1/2/1961,1/11/2003,40.8,95,  N
57007,ARMIDALE (FORGLEN)                       ,-30.45,151.9167,1/1/1937,1/12/1975,38.7,99,  N
57048,ARMIDALE (GARA)                          ,-30.5833,151.8167,1/5/1961,1/10/1974,13,96,  N
57092,ARMIDALE (GIRRAKOOL)                     ,-30.3667,151.9667,1/1/1965,1/8/1974,9.7,100,  N
57034,ARMIDALE (GOOYONG)                       ,-30.45,151.8167,1/2/1961,1/2/1984,23,100,  N
57088,ARMIDALE (HERBERT PARK)                  ,-30.4167,151.8167,1/1/1930,1/12/1935,6,100,  N
57106,ARMIDALE (LOCH ABBA)                     ,-30.39,151.815,1/5/1976,1/12/2010,28.8,83,  N
56002,ARMIDALE (RADIO STATION 2AD)             ,-30.5167,151.6681,NA,1/6/1997,134.5,96,  N
56191,ARMIDALE (TILBUSTER)                     ,-30.45,151.6833,1/2/1966,1/11/1974,7.7,87,  N
56069,ARMIDALE (TIVERTON)                      ,-30.6479,151.7463,1/2/1961,1/7/2009,39.3,81,  N
56037,ARMIDALE (TREE GROUP NURSERY)            ,-30.5243,151.6716,1/6/1997,1/3/2022,24.8,100,  N
56070,ARMIDALE (WYNDELLA)                      ,-30.4167,151.5667,1/5/1961,1/6/1969,7.1,87,  N
56238,ARMIDALE AIRPORT AWS                     ,-30.5273,151.6158,1/6/1994,1/3/2022,27.3,98,  Y
56003,ARMIDALE FOREST                          ,-30.5,151.6,1/1/1929,1/1/1954,25.1,100,  N
67049,ARNOLD GROVE                             ,-33.4,151.2,NA,1/12/1918,30,100,  N
59132,ARRAWARRA CARAVAN PARK                   ,-30.0611,153.1944,1/9/1986,1/3/1992,5.3,94,  N
54001,ARRAWATTA (INVERELL)                     ,-29.7,151.1,1/3/1907,1/1/1951,36.2,82,  N
53061,ARRORAMIE LOWER                          ,-30.75,149.6,NA,1/6/1914,24.8,100,  N
65000,ARTHURVILLE (CRAMOND)                    ,-32.4975,148.7488,NA,1/2/2022,133.3,100,  N
47002,ARUMPO                                   ,-33.75,142.9,NA,1/6/1966,84.6,98,  N
74138,ARUNDEL                                  ,-35.9,146.6,NA,1/12/1936,48,100,  N
66000,ASHFIELD BOWLING CLUB                    ,-33.885,151.1344,NA,1/3/2012,106.6,90,  N
54054,ASHFORD (ALMOND BANK)                    ,-29.45,151.2333,1/9/1958,1/12/1964,6.3,100,  N
54043,ASHFORD (BEAUMONT)                       ,-29.357,151.1432,1/1/1946,1/12/2021,74,97,  N
54046,ASHFORD (BURRABOGIE)                     ,-29.3992,151.4107,1/1/1959,1/2/2022,63.1,100,  N
54053,ASHFORD (COOLENDOON)                     ,-29.45,151.1667,1/9/1958,1/6/1979,20.8,100,  N
54051,ASHFORD (EGREMONT)                       ,-29.4167,151.15,1/1/1959,1/3/1977,18.1,99,  N
54041,ASHFORD (NORWOOD)                        ,-29.25,151.05,1/1/1959,1/10/1979,20.8,100,  N
54055,ASHFORD (SABRINA)                        ,-29.4017,151.2033,1/8/1958,1/12/1987,29.4,100,  N
54045,ASHFORD (SPRINGVALE)                     ,-29.3411,151.2894,1/9/1958,1/12/2020,60.4,97,  N
54002,ASHFORD (SUNHAVEN HOSTEL)                ,-29.3196,151.0916,1/3/1901,1/12/2007,101.2,95,  N
