"V1";"V2";"V3";"V4";"V5"
23000;1;2;2;1
23034;1;2;2;1
90180;2;3;3;1
9500;2;3;3;1
68241;2;5;4;1
72160;1;5;2;1
15590;4;1;5;1
33295;3;1;1;1
40004;3;6;5;1
41175;2;5;6;1
89085;2;3;6;1
40211;3;6;4;1
17099;4;2;5;1
87113;1;3;6;1
33002;3;1;1;1
9037;1;2;2;1
85279;2;3;6;1
11017;4;2;2;1
58198;3;6;4;1
66137;2;5;4;1
36007;4;1;5;1
54003;1;5;2;1
69134;2;5;6;1
38000;4;1;5;1
40284;3;6;4;1
69139;2;5;2;1
68228;2;5;4;1
10007;4;2;2;1
81123;1;3;2;1
92003;2;3;3;1
9240;2;2;6;1
3030;5;1;1;1
14153;3;1;1;1
70005;2;4;6;1
70328;2;4;6;1
14723;5;1;1;1
38003;5;1;1;1
48245;4;1;5;1
69132;2;4;6;1
9617;2;3;2;1
40913;3;6;4;1
40842;3;6;4;1
47048;4;2;2;1
3003;5;1;1;1
15085;5;1;1;1
9965;2;2;2;1
39128;3;6;4;1
73007;2;5;2;1
95003;2;4;6;1
9603;1;2;2;1
31011;3;1;1;1
66194;2;5;4;1
94010;2;4;3;1
91245;2;3;3;1
26095;2;3;3;1
9518;2;2;3;1
9519;2;2;3;1
90184;2;3;3;1
97000;2;4;3;1
22803;2;3;3;1
32004;3;6;4;1
8025;4;2;5;1
88110;2;3;6;1
18012;4;2;2;1
86361;2;3;3;1
61260;1;5;2;1
14253;3;1;1;1
44021;4;6;5;1
34084;3;1;1;1
21131;1;3;2;1
18116;1;2;2;1
48237;4;2;5;1
48027;4;2;5;1
86383;2;3;6;1
84143;2;3;6;1
50137;1;2;2;1
40717;3;6;4;1
70217;2;4;6;1
70278;2;4;6;1
26091;2;3;6;1
73142;1;3;2;1
74034;1;5;2;1
10536;1;2;2;1
91306;2;4;6;1
10286;4;2;2;1
44026;4;1;5;1
3080;5;1;1;1
15511;4;1;5;1
41522;1;6;5;1
14626;5;1;1;1
82076;2;3;6;1
14015;5;1;1;1
14949;5;1;1;1
6044;4;1;1;1
3032;5;1;1;1
91126;2;3;3;1
9534;2;2;2;1
59140;2;4;6;1
40068;3;6;4;1
14901;5;1;1;1
94020;2;4;6;1
23083;1;2;2;1
22046;1;2;3;1
15131;5;1;1;1
35264;4;6;5;1
6072;5;1;1;1
9789;2;2;3;1
86038;2;3;6;1
24511;1;3;2;1
58212;3;6;4;1
11019;1;2;2;1
83084;6;4;6;1
92012;2;4;6;1
99005;2;3;3;1
65103;1;5;2;1
84016;2;3;3;1
6022;5;1;1;1
84142;2;4;6;1
39123;3;6;4;1
56013;2;3;6;1
56243;2;4;6;1
20028;4;2;2;1
40764;3;6;4;1
10058;4;2;2;1
58077;3;6;4;1
73014;1;5;2;1
14518;5;1;1;1
62013;1;5;2;1
73141;1;5;2;1
56229;2;4;6;1
90173;2;3;6;1
94191;6;4;6;1
75032;1;2;2;1
94029;2;3;3;1
94008;2;3;3;1
9961;1;3;3;1
27058;3;1;1;1
79100;1;3;2;1
72023;2;5;2;1
82139;2;4;6;1
10568;4;2;2;1
32078;3;6;4;1
43015;3;6;5;1
10905;1;3;2;1
9842;2;3;2;1
15602;4;1;5;1
9131;1;2;2;1
8251;4;1;5;1
4083;5;1;1;1
63039;2;4;6;1
25507;1;2;2;1
10073;4;2;2;1
80023;1;2;2;1
72162;2;3;6;1
18040;1;2;2;1
98017;2;3;3;1
22841;1;3;2;1
23887;2;3;3;1
80091;1;2;2;1
18044;4;2;2;1
39059;3;6;4;1
14829;5;1;1;1
75039;1;2;2;1
88023;2;3;6;1
10911;1;2;2;1
96071;6;4;6;1
92045;2;3;3;1
91237;2;3;6;1
87031;1;3;6;1
5007;4;1;1;1
17110;4;2;5;1
12314;4;1;5;1
48243;4;6;5;1
28008;3;1;1;1
40854;3;6;4;1
79028;1;3;2;1
61288;3;5;4;1
91293;2;3;3;1
31037;3;1;1;1
91259;6;4;6;1
94041;2;4;3;1
33119;3;6;4;1
22008;1;2;2;1
88109;1;3;2;1
61375;2;5;4;1
9573;2;3;6;1
5008;5;1;1;1
91223;2;4;3;1
17126;4;1;5;1
88043;1;3;2;1
40126;3;6;4;1
14704;5;1;1;1
14274;3;1;1;1
7045;4;1;5;1
86282;2;3;6;1
94201;2;4;6;1
