"Station";"kM";"kSV";"kSVA";"pM";"pSV";"pSVA";"fmmM";"fmmSV";"fmmSVA";"dpM";"dpSV";"dpSVA"
"23000";"2";"3";"9";"6";"4";"2";"6";"2";"1";"1";"1";"1"
"9500";"6";"9";"7";"1";"2";"4";"2";"2";"5";"5";"1";"1"
"68241";"8";"2";"8";"3";"1";"1";"2";"3";"3";"5";"1";"1"
"72160";"2";"3";"9";"6";"6";"4";"1";"1";"1";"5";"1";"1"
"15590";"4";"2";"8";"2";"1";"4";"6";"3";"3";"1";"1";"1"
"33295";"8";"7";"6";"3";"2";"6";"4";"4";"4";"3";"1";"1"
"40004";"8";"2";"8";"3";"5";"4";"2";"3";"3";"5";"1";"1"
"16065";"4";"5";"4";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"41175";"6";"2";"8";"1";"2";"2";"1";"3";"3";"1";"1";"1"
"89085";"6";"3";"9";"1";"5";"4";"1";"1";"1";"1";"1";"1"
"17099";"4";"5";"4";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"56238";"6";"4";"4";"1";"1";"1";"1";"5";"6";"1";"1";"1"
"87113";"2";"4";"10";"6";"6";"1";"6";"1";"1";"1";"1";"1"
"9037";"4";"3";"2";"6";"3";"5";"6";"2";"2";"1";"1";"1"
"85279";"6";"4";"10";"1";"1";"2";"1";"5";"6";"1";"1";"1"
"89002";"6";"3";"9";"1";"5";"4";"1";"1";"1";"1";"1";"1"
"49002";"2";"3";"10";"6";"6";"4";"6";"1";"1";"1";"1";"1"
"54003";"8";"2";"8";"3";"1";"2";"5";"3";"3";"1";"1";"1"
"5094";"4";"5";"4";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"69134";"6";"2";"8";"3";"1";"4";"2";"3";"3";"5";"1";"1"
"63005";"6";"4";"10";"6";"6";"1";"1";"5";"6";"5";"1";"1"
"63291";"6";"4";"10";"1";"6";"1";"1";"5";"6";"1";"1";"1"
"38000";"9";"5";"4";"4";"1";"1";"3";"3";"6";"2";"1";"1"
"40284";"7";"10";"6";"5";"1";"6";"4";"3";"3";"3";"1";"1"
"69139";"6";"2";"8";"6";"1";"2";"1";"3";"3";"5";"1";"1"
"10007";"4";"3";"2";"6";"6";"4";"6";"6";"1";"1";"1";"1"
"81123";"2";"3";"2";"6";"6";"4";"1";"1";"1";"1";"1";"1"
"10515";"4";"3";"2";"6";"6";"2";"6";"6";"1";"5";"1";"1"
"92003";"6";"4";"7";"1";"1";"1";"1";"5";"6";"1";"1";"1"
"9240";"7";"9";"3";"3";"3";"5";"2";"2";"2";"5";"1";"1"
"3030";"9";"7";"6";"4";"5";"6";"3";"4";"4";"2";"1";"1"
"70005";"6";"4";"4";"1";"1";"1";"1";"5";"6";"1";"1";"1"
"14723";"3";"7";"6";"4";"1";"6";"4";"4";"4";"3";"1";"1"
"48015";"4";"5";"4";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"40913";"8";"2";"8";"3";"4";"4";"2";"3";"3";"5";"1";"1"
"40842";"8";"2";"1";"3";"1";"4";"2";"3";"3";"5";"1";"1"
"47048";"4";"4";"10";"6";"6";"1";"6";"5";"6";"1";"1";"1"
"10524";"2";"3";"2";"6";"6";"4";"6";"6";"1";"1";"1";"1"
"15085";"9";"2";"6";"4";"1";"6";"3";"3";"3";"2";"1";"1"
"9965";"8";"9";"3";"6";"3";"5";"1";"2";"2";"5";"1";"1"
"73007";"8";"3";"9";"3";"6";"4";"2";"1";"1";"5";"1";"1"
"95003";"6";"9";"9";"1";"4";"2";"1";"1";"1";"1";"1";"1"
"9603";"2";"9";"3";"6";"3";"5";"1";"2";"2";"1";"1";"1"
"96003";"10";"9";"3";"1";"4";"5";"4";"2";"2";"4";"1";"1"
"31011";"1";"8";"5";"5";"1";"3";"4";"4";"4";"3";"1";"1"
"68192";"8";"2";"8";"6";"6";"4";"5";"3";"3";"5";"1";"1"
"37010";"9";"2";"6";"4";"6";"4";"3";"3";"3";"2";"1";"1"
"94198";"5";"4";"7";"1";"1";"2";"1";"2";"5";"1";"1";"1"
"94010";"5";"9";"7";"1";"2";"2";"2";"2";"5";"5";"1";"1"
"91245";"5";"9";"7";"1";"2";"2";"1";"2";"5";"5";"1";"1"
"26095";"6";"3";"9";"1";"4";"2";"1";"2";"1";"1";"1";"1"
"9518";"6";"9";"7";"1";"2";"5";"1";"2";"5";"1";"1";"1"
"9519";"6";"9";"3";"6";"3";"5";"1";"2";"2";"1";"1";"1"
"90015";"5";"9";"7";"1";"2";"2";"2";"2";"5";"1";"1";"1"
"97000";"5";"9";"7";"1";"2";"2";"2";"2";"5";"5";"1";"1"
"22803";"6";"9";"7";"1";"1";"2";"1";"2";"5";"1";"1";"1"
"8025";"4";"3";"2";"2";"6";"4";"6";"6";"1";"1";"1";"1"
"6011";"4";"6";"1";"2";"1";"1";"6";"3";"3";"1";"1";"1"
"13015";"9";"5";"4";"2";"1";"1";"6";"3";"3";"2";"1";"1"
"86361";"6";"9";"9";"1";"2";"2";"1";"1";"5";"1";"1";"1"
"14253";"1";"1";"5";"5";"2";"3";"4";"4";"4";"3";"1";"1"
"34084";"9";"10";"6";"2";"1";"6";"2";"3";"3";"3";"1";"1"
"21131";"2";"3";"9";"6";"4";"4";"1";"1";"1";"1";"1";"1"
"18014";"2";"3";"10";"6";"6";"4";"6";"1";"1";"1";"1";"1"
"29141";"9";"10";"6";"4";"1";"6";"3";"3";"3";"2";"1";"1"
"48237";"4";"4";"4";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"48027";"4";"4";"10";"2";"1";"1";"6";"5";"6";"1";"1";"1"
"86383";"6";"3";"9";"1";"4";"4";"1";"1";"1";"1";"1";"1"
"48031";"4";"2";"8";"2";"1";"2";"2";"5";"6";"1";"1";"1"
"33013";"9";"10";"6";"4";"1";"6";"2";"3";"3";"5";"1";"1"
"84143";"5";"3";"2";"1";"6";"4";"2";"1";"1";"5";"1";"1"
"50052";"2";"4";"10";"6";"6";"1";"6";"5";"6";"1";"1";"1"
